estado	inicio	varinicio	varfim	pt_v	id	inteiro	real	literal	leia	escreva	lit	num	rcb	opm	se	ab_p	fc_p	entao	opr	fimse	repita	fimrepita	fim	$
50	e2	e2	e2	r6	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	
51	e1	e3	e3	e1	r11	e3	e3	e3	r11	r11	e1	e1	e6	e7	r11	e1	e1	e1	e7	r11	r11	r11	r11	
52	e1	e3	e3	e1	r12	e3	e3	e3	r12	r12	e1	e1	e6	e7	r12	e1	e1	e1	e7	r12	r12	r12	r12	
53	e6	e6	e6	s67	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	
54	e7	e7	e7	r19	e7	e7	e7	e7	e7	e7	e7	e7	e7	s68	e7	e7	e7	e7	e7	e7	e7	e7	e7	
55	e7	e7	e7	r20	e7	e7	e7	e7	e7	e7	e7	e7	e7	r20	e7	e7	r20	e7	r20	e7	e7	e7	e7	
56	e7	e7	e7	r21	e7	e7	e7	e7	e7	e7	e7	e7	e7	r21	e7	e7	r21	e7	r21	e7	e7	e7	e7	
57	e1	e3	e3	e1	r26	e3	e3	e3	r26	r26	e1	e1	e6	e7	r26	e1	e1	e1	e7	r26	r26	r26	r26	
58	e1	e3	e3	e1	r27	e3	e3	e3	r27	r27	e1	e1	e6	e7	r27	e1	e1	e1	e7	r27	r27	r27	r27	
59	e1	e3	e3	e1	r28	e3	e3	e3	r28	r28	e1	e1	e6	e7	r28	e1	e1	e1	e7	r28	r28	r28	r28	
60	e1	e3	e3	e1	r33	e3	e3	e3	r33	r33	e1	e1	e6	e7	r33	e1	e1	e1	e7	e1	r33	e1	r33	
61	e1	e3	e3	e1	r34	e3	e3	e3	r34	r34	e1	e1	e6	e7	r34	e1	e1	e1	e7	e1	r34	e1	r34	
62	e1	e3	e3	e1	r35	e3	e3	e3	r35	r35	e1	e1	e6	e7	r35	e1	e1	e1	e7	e1	r35	e1	r35	
63	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	s69	e4	e4	e4	e4	e4	e4	
64	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	s70	e7	e7	e7	e7	
65	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	e5	s71	e5	e5	e5	e5	e5	e5	
66	e1	e3	r5	e1	e1	r5	r5	r5	e8	e8	e1	e1	e6	e7	e1	e1	e1	e1	e7	e1	e1	e1	e1	
67	e1	e3	e3	e1	r17	e3	e3	e3	r17	r17	e1	e1	e6	e7	r17	e1	e1	e1	e7	r17	r17	r17	r17	
68	e7	e7	e7	e7	s55	e7	e7	e7	e7	e7	e7	s56	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	
69	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	s73	e4	e4	e4	e4	e4	
70	e7	e7	e7	e7	s55	e7	e7	e7	e7	e7	e7	s56	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	e7	
71	e1	e3	e3	e1	r32	e3	e3	e3	r32	r32	e1	e1	e6	e7	r32	e1	e1	e1	e7	e1	e1	r32	e1	
72	e6	e6	e6	r18	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	e6	
73	e1	e3	e3	e1	r24	e3	e3	e3	r24	r24	e1	e1	e6	e7	r24	e1	e1	e1	e7	r24	e1	e1	e1	
74	e9	e9	e9	e9	e9	e9	e9	e9	e9	e9	e9	e9	e9	e9	e9	e9	r25	e9	e9	e9	e9	e9	e9	
